地域ブロック,都道府県,市町村立病院名,自治体名,病院メールアドレス,自治体病院担当メールアドレス,備考
北海道,北海道,市立札幌病院,札幌市,なし,なし,
北海道,北海道,市立函館病院,函館市,hmh@hospital.hakodate.hokkaido.jp,なし,病院代表メール
北海道,北海道,市立旭川病院,旭川市,なし,なし,
北海道,北海道,小樽市立病院,小樽市,なし,なし,
北海道,北海道,市立釧路総合病院,釧路市,kh530101@kushiro-cghp.jp,なし,病院総務課総務担当
北海道,北海道,市立室蘭総合病院,室蘭市,なし,なし,
北海道,北海道,市立稚内病院,稚内市,hos-syomu@city.wakkanai.lg.jp,なし,病院庶務課
北海道,北海道,市立美唄病院,美唄市,なし,なし,
北海道,北海道,市立三笠総合病院,三笠市,なし,なし,
北海道,北海道,市立芦別病院,芦別市,なし,なし,
北海道,北海道,砂川市立病院,砂川市,なし,なし,
北海道,北海道,滝川市立病院,滝川市,なし,なし,
北海道,北海道,深川市立病院,深川市,なし,なし,
北海道,北海道,名寄市立総合病院,名寄市,なし,なし,
北海道,北海道,市立士別総合病院,士別市,なし,なし,
北海道,北海道,江別市立病院,江別市,なし,なし,
北海道,北海道,市立千歳市民病院,千歳市,なし,なし,
北海道,北海道,苫小牧市立病院,苫小牧市,renkei@tomakomai-city-hospital.com,なし,病院・患者サポートセンター(地域医療連携用)
北海道,北海道,市立根室病院,根室市,なし,なし,
北海道,北海道,国民健康保険町立南幌病院,南幌町,なし,なし,
北海道,北海道,奈井江町立病院,奈井江町,なし,なし,
北海道,北海道,月形町立病院,月形町,なし,なし,
北海道,北海道,町立長沼病院,長沼町,by-zimu-info@ad.maoi-net.jp,なし,病院事務局
北海道,北海道,町立中標津病院,中標津町,なし,なし,
北海道,北海道,町立別海病院,別海町,なし,なし,
北海道,北海道,標津町国民健康保険標津病院,標津町,byouin@town.shibetsu.lg.jp,なし,病院事務(町ドメイン)
北海道,北海道,町立厚岸病院,厚岸町,なし,なし,
北海道,北海道,標茶町立病院,標茶町,なし,なし,
北海道,北海道,弟子屈町立病院,弟子屈町,なし,なし,
北海道,北海道,八雲町熊石国民健康保険病院,八雲町,kumaishi-hp@town.yakumo.lg.jp,なし,病院問い合わせ用(町ドメイン)
北海道,北海道,今金町国民健康保険病院,今金町,なし,なし,
北海道,北海道,せたな町立国保病院,せたな町,なし,なし,
北海道,北海道,知内町国民健康保険病院,知内町,なし,なし,
北海道,北海道,福島町国民健康保険病院,福島町,なし,なし,診療所化の情報あり/要確認
北海道,北海道,町立松前病院,松前町,なし,なし,
北海道,北海道,木古内町国民健康保険病院,木古内町,なし,なし,
北海道,北海道,厚沢部町国民健康保険病院,厚沢部町,byouin@town.assabu.lg.jp,なし,国保病院(町ドメイン)
北海道,北海道,乙部町国民健康保険病院,乙部町,byouin@town.otobe.lg.jp,なし,国保病院(町ドメイン)
北海道,北海道,奥尻町国民健康保険病院,奥尻町,なし,ok-ss@town.okushiri.lg.jp,自治体側=役場総務課代表(病院専用ではない/要確認)
北海道,北海道,長万部町立病院,長万部町,なし,なし,
北海道,北海道,新ひだか町立病院(静内病院),新ひだか町,なし,なし,
北海道,北海道,新ひだか町立三石国民健康保険病院,新ひだか町,なし,なし,
北海道,北海道,日高町立門別国民健康保険病院,日高町,なし,なし,
北海道,北海道,平取町国民健康保険病院,平取町,なし,なし,
北海道,北海道,様似町国民健康保険病院,様似町,なし,なし,
北海道,北海道,白老町立国民健康保険病院,白老町,なし,なし,
